id,name,price,expires,
126,Mussels - Cultivated,4.41,3/28/2019,
127,"Beef - Rib Roast, Cap On",3.38,3/7/2019,
128,Tea - Herbal - 6 Asst,2.94,8/29/2019,
129,Trueblue - Blueberry Cranberry,4.18,7/7/2019,
130,"Bread - Pullman, Sliced",4.13,7/7/2019,
131,"Tray - Foam, Square 4 - S",2.57,8/24/2019,
132,Tofu - Firm,4.1,7/22/2019,
133,Veal - Inside,2.39,10/29/2019,
134,Pepper - Green Thai,1.52,7/12/2019,
135,Trout - Smoked,3.74,10/23/2019,
136,Red Currant Jelly,3.33,4/15/2019,
137,Chickensplit Half,1.51,4/1/2019,
138,Soup - Campbells Mac N Cheese,2.76,1/10/2019,
139,Truffle - Whole Black Peeled,4.76,1/10/2019,
140,Alize Sunset,4.46,2/21/2019,
141,Sauce - Hollandaise,2.3,11/24/2019,
142,Bag - Clear 7 Lb,4.52,12/1/2019,
143,French Pastries,2.77,4/19/2019,
144,Cake - Miini Cheesecake Cherry,1.62,5/4/2019,
145,"Doilies - 10, Paper",3,9/18/2019,
146,Chocolate Liqueur - Godet White,1.75,6/8/2019,
147,Rice - Jasmine Sented,3.56,7/2/2019,
148,Samosa - Veg,4.42,8/17/2019,
149,Cake - Lemon Chiffon,1.56,8/25/2019,
150,"Lobster - Baby, Boiled",2.57,6/7/2019,
151,Chicken Thigh - Bone Out,1.73,9/14/2019,
152,"Pineapple - Canned, Rings",2.85,3/19/2019,
153,"Juice - Pineapple, 341 Ml",1.44,11/16/2019,
154,"Nut - Almond, Blanched, Ground",3.94,8/11/2019,
155,Squeeze Bottle,1.68,7/11/2019,
156,Wine - Maipo Valle Cabernet,4.05,7/17/2019,
157,Cheese - Stilton,3.8,9/15/2019,
158,Pastry - Cherry Danish - Mini,4.02,5/24/2019,
159,"Butter - Salted, Micro",1.97,11/25/2019,
160,Beets - Golden,3.48,4/17/2019,
161,Emulsifier,2.11,1/28/2019,
162,Pork Loin Cutlets,3.08,8/16/2019,
163,Puree - Mocha,4.93,4/16/2019,
164,Compound - Rum,3.81,9/19/2019,
165,Rolled Oats,2.16,12/26/2019,
166,Petite Baguette,3.28,8/5/2019,
167,Longan,4.17,2/19/2019,
168,"Trout - Rainbow, Frozen",3.83,7/6/2019,
169,Sea Urchin,3.04,10/29/2019,
170,Loquat,1.13,5/29/2019,
171,"Leeks - Baby, White",2.43,6/26/2019,
172,"Pork - Bacon, Double Smoked",4.16,3/20/2019,
173,Beef - Tenderloin Tails,2.24,12/9/2019,
174,"Salsify, Organic",2.67,6/14/2019,
175,Sausage - Chorizo,3.87,9/11/2019,
176,"Apple - Delicious, Red",4.2,11/28/2019,
177,Zucchini - Green,1.31,11/17/2019,
178,Muffin Orange Individual,2.92,1/27/2019,
179,Chicken - Base,1.52,11/25/2019,
180,Bay Leaf Ground,3.33,9/10/2019,
181,Muffin Mix - Corn Harvest,4.52,1/16/2019,
182,Muffin - Mix - Bran And Maple 15l,1.41,5/2/2019,
183,Wine - Chablis 2003 Champs,4.9,8/5/2019,
184,Cabbage Roll,2.21,12/28/2019,
185,Campari,3.76,8/13/2019,
186,Tea Leaves - Oolong,4.7,5/8/2019,
187,Soho Lychee Liqueur,4.04,12/27/2019,
188,Beef - Tender Tips,4.63,6/10/2019,
189,Flower - Dish Garden,2.92,5/13/2019,
190,Coffee - Decaffeinato Coffee,4.88,4/9/2019,
191,Jolt Cola - Electric Blue,4.73,12/10/2019,
192,Oil - Sunflower,2.07,6/4/2019,
193,Canadian Emmenthal,2.22,6/29/2019,
194,Beer - Steamwhistle,4.28,5/23/2019,
195,Garbage Bag - Clear,3.65,11/25/2019,
196,Appetizer - Escargot Puff,1.39,6/9/2019,
197,Table Cloth 62x120 Colour,3.64,3/30/2019,
198,Cornish Hen,2.96,3/9/2019,
199,Beer - Fruli,4.07,2/16/2019,
200,"Quail - Whole, Boneless",4.46,12/5/2019,
201,Curry Paste - Madras,4.57,6/25/2019,
202,"Sugar - Sweet N Low, Individual",3.89,7/4/2019,
203,Wine - Fat Bastard Merlot,2.54,6/6/2019,
204,Fond - Chocolate,3.72,3/22/2019,
205,Olive - Spread Tapenade,3.36,1/13/2019,
206,"Soup - Knorr, Chicken Noodle",4.47,11/9/2019,
207,Oil - Pumpkinseed,3.74,8/21/2019,
208,"Beef - Baby, Liver",1.12,10/23/2019,
209,Juice - V8 Splash,1.25,6/11/2019,
210,Chinese Foods - Chicken Wing,1.74,3/4/2019,
211,Trueblue - Blueberry 12x473ml,1.25,12/6/2019,
212,Cookie Dough - Chocolate Chip,3.29,11/28/2019,
213,Cumin - Whole,1.9,5/4/2019,
214,Tea Peppermint,1.93,1/24/2019,
215,White Fish - Filets,3.52,7/2/2019,
216,Cheese - Bocconcini,2.44,12/16/2019,
217,"Cookies - Oreo, 4 Pack",2.93,10/18/2019,
218,Bread - Corn Muffaleta Onion,1.58,1/20/2019,
219,Beer - Sleeman Fine Porter,1.88,1/2/2019,
220,Wine - Sauvignon Blanc Oyster,2.41,3/9/2019,
221,Ice Cream - Life Savers,1.38,11/4/2019,
222,Water - Perrier,3.44,12/12/2019,
223,"Nut - Pine Nuts, Whole",3.21,2/27/2019,
224,Wine - Pinot Noir Mondavi Coastal,3.62,1/15/2019,
225,Spice - Paprika,1.8,1/11/2019,
226,Cookie Dough - Oatmeal Rasin,2.05,5/4/2019,
227,Cleaner - Bleach,4.63,3/24/2019,
228,Salt - Sea,3.09,5/7/2019,
229,Truffle Cups - Red,4.59,10/30/2019,
230,Flounder - Fresh,1.97,11/13/2019,
231,Kale - Red,1.38,6/26/2019,
232,"Crab - Dungeness, Whole, live",1.19,11/22/2019,
233,Apricots - Dried,3.93,2/20/2019,
234,"Soup - Knorr, Ministrone",1.76,6/27/2019,
235,Chicken - Wieners,3.81,8/3/2019,
236,Wine - Chateauneuf Du Pape,4.28,4/28/2019,
237,Papayas,1.52,12/20/2019,
238,Lettuce - Frisee,3.8,11/22/2019,
239,Cocoa Butter,3.29,6/7/2019,
240,Spinach - Frozen,3.09,6/25/2019,
241,Relish,3.42,11/3/2019,
242,"Tea - Darjeeling, Azzura",3.21,5/18/2019,
243,"Pasta - Penne, Lisce, Dry",4.03,1/8/2019,
244,Olives - Stuffed,1.44,6/8/2019,
245,Truffle Shells - Semi - Sweet,3.09,10/31/2019,
246,Oil - Grapeseed Oil,4.69,5/14/2019,
247,Pastry - Butterscotch Baked,2.33,7/25/2019,
248,Chocolate - Chips Compound,3.27,4/27/2019,
249,"Beef - Rib Roast, Capless",4.19,2/12/2019,
250,Chinese Foods - Plain Fried Rice,2.05,4/18/2019,
251,Sauce - Marinara,1.71,6/13/2019,
252,Pastry - Chocolate Marble Tea,4.37,6/15/2019,
253,Compound - Strawberry,3.29,2/8/2019,
254,Fenngreek Seed,2.19,10/18/2019,
255,Sauce - Caesar Dressing,3.76,8/14/2019,
256,Anchovy Paste - 56 G Tube,3.81,3/21/2019,
257,Pasta - Cheese / Spinach Bauletti,1.56,4/6/2019,
258,Piping - Bags Quizna,4.38,9/27/2019,
259,Towel Dispenser,1.95,9/10/2019,
260,Absolut Citron,1.67,6/21/2019,
261,Bread - Bistro White,4.54,1/9/2019,
262,Pastry - Plain Baked Croissant,4.62,6/16/2019,
263,Breadfruit,4.03,4/26/2019,
264,Coffee Caramel Biscotti,2.59,12/9/2019,
265,Food Colouring - Red,4.87,3/28/2019,
266,"Beans - Long, Chinese",3.55,12/26/2019,
267,Tea Leaves - Oolong,1.72,12/22/2019,
268,Sauce - Balsamic Viniagrette,3.08,7/8/2019,
269,Shortbread - Cookie Crumbs,3.39,10/18/2019,
270,Water - San Pellegrino,4.14,5/31/2019,
271,"Mushroom - Morels, Dry",1.92,12/4/2019,
272,"Pasta - Gnocchi, Potato",4.39,8/6/2019,
273,Pur Source,3.99,7/29/2019,
274,Nestea - Iced Tea,3.36,6/15/2019,
275,Chocolate Bar - Oh Henry,3.99,9/24/2019,
276,Apricots Fresh,2.49,12/19/2019,
277,"Lid - Translucent, 3.5 And 6 Oz",2.32,3/7/2019,
278,Flour - Bread,1.85,7/7/2019,
279,Apron,1.29,1/31/2019,
280,"Napkin - Dinner, White",1.25,5/3/2019,
281,Lemon Pepper,1.53,11/17/2019,
282,Cookie Dough - Chocolate Chip,2.82,2/17/2019,
283,Onions - Cippolini,2.87,2/4/2019,
284,Beef - Montreal Smoked Brisket,1.2,3/7/2019,
285,Mousse - Passion Fruit,3.19,7/24/2019,
286,Mushroom - White Button,3.25,8/28/2019,
287,"Rum - Cream, Amarula",2.64,10/24/2019,
288,Ecolab - Hobart Washarm End Cap,1.57,6/2/2019,
289,Tea - Decaf 1 Cup,3.4,8/28/2019,
290,Fiddlehead - Frozen,3.91,4/14/2019,
291,Jagermeister,2.93,5/20/2019,
292,Fondant - Icing,4.94,7/13/2019,
293,"Yogurt - Raspberry, 175 Gr",3.46,4/30/2019,
294,Dried Cherries,3.95,9/22/2019,
295,Halibut - Steaks,4.88,6/26/2019,
296,Flower - Leather Leaf Fern,3.33,1/17/2019,
297,"Chicken - Base, Ultimate",2.74,10/3/2019,
298,Kellogs Cereal In A Cup,4.04,5/29/2019,
299,"Roe - Lump Fish, Black",4.88,9/23/2019,
300,"Veal - Brisket, Provimi,bnls",2.93,9/6/2019,
301,Pie Filling - Cherry,4.48,6/3/2019,
302,Longos - Penne With Pesto,1.6,11/15/2019,
303,Soup Campbells - Tomato Bisque,1.72,9/1/2019,
304,Chivas Regal - 12 Year Old,3.78,10/27/2019,
305,Flavouring - Orange,1.74,12/26/2019,
306,"Vermacelli - Sprinkles, Assorted",3.52,3/27/2019,
307,Salt And Pepper Mix - White,3.88,11/10/2019,
308,Coffee Beans - Chocolate,2.94,8/4/2019,
309,Wine - Baron De Rothschild,3.35,6/12/2019,
310,"Beef - Bones, Marrow",4.51,11/15/2019,
311,Corn - On The Cob,2.29,11/3/2019,
312,"Lamb - Whole, Fresh",2.29,8/18/2019,
313,Veal - Knuckle,4.82,3/3/2019,
314,Cranberries - Dry,3.78,11/30/2019,
315,Muffin Batt - Blueberry Passion,3.58,2/26/2019,
316,"Pork - Butt, Boneless",2.92,12/19/2019,
317,Pie Pecan,1.73,6/25/2019,
318,Gooseberry,4.27,11/15/2019,
319,Beets,1.3,1/7/2019,
320,Foil Wrap,3.41,6/12/2019,
321,Eggroll,1.25,5/30/2019,
322,"Wine - Red, Cabernet Merlot",3.56,4/9/2019,
323,Nantucket Apple Juice,1.28,10/27/2019,
324,Spaghetti Squash,2.05,11/10/2019,
325,Couscous,1.78,5/30/2019,
326,"Lobster - Baby, Boiled",4.61,12/22/2019,
327,Gherkin - Sour,3.36,6/13/2019,
328,Cheese - Valancey,3.41,12/29/2019,
329,Herb Du Provence - Primerba,2.71,1/18/2019,
330,Pork - Backfat,2.79,10/22/2019,
331,Lettuce - Belgian Endive,3.1,3/28/2019,
332,Bread - Rosemary Focaccia,1.61,7/24/2019,
333,Tea - Orange Pekoe,3.32,7/21/2019,
334,Tarts Assorted,2.98,2/9/2019,
335,Hog / Sausage Casing - Pork,3.49,6/16/2019,
336,Veal - Slab Bacon,3.59,1/11/2019,
337,"Beef - Ox Tail, Frozen",4.4,1/4/2019,
338,Salt - Table,2.97,8/28/2019,
339,Island Oasis - Strawberry,1.3,8/31/2019,
340,"Sugar - Brown, Individual",3.15,4/10/2019,
341,Extract - Rum,3.26,6/22/2019,
342,English Muffin,2.53,4/3/2019,
343,Table Cloth 81x81 Colour,4.1,12/12/2019,
344,Table Cloth 53x53 White,1.04,5/2/2019,
345,"Lentils - Green, Dry",3.37,3/18/2019,
346,Chicken - Livers,1.02,7/13/2019,
347,Snapple Raspberry Tea,2.5,2/25/2019,
348,Crush - Cream Soda,1.55,11/26/2019,
349,Vinegar - Tarragon,1.3,6/1/2019,
350,Mangoes,3.97,1/13/2019,
351,Juice - Happy Planet,3.39,2/24/2019,
352,Bread - Raisin Walnut Oval,3.86,2/20/2019,
353,"Roe - Lump Fish, Red",4.22,10/19/2019,
354,Bread - Rosemary Focaccia,3.91,9/25/2019,
355,Vinegar - Tarragon,2.09,6/28/2019,
356,Bread - Corn Muffaletta,1.4,12/12/2019,
357,Sugar - Brown,1.3,10/29/2019,
358,Soup - Campbells - Tomato,4.77,5/14/2019,
359,Pie Filling - Pumpkin,1.82,1/30/2019,
360,Truffle Shells - Semi - Sweet,3.11,3/22/2019,
361,"Cherries - Bing, Canned",4.78,9/19/2019,
362,Icecream - Dstk Cml And Fdg,1.67,1/13/2019,
363,Momiji Oroshi Chili Sauce,1.19,5/2/2019,
364,Muffin Hinge 117n,3.88,3/15/2019,
365,Tray - 16in Rnd Blk,1.31,1/19/2019,
366,Milk - Chocolate 250 Ml,2.28,4/15/2019,
367,Coffee - Almond Amaretto,1.19,1/28/2019,
368,Orange Roughy 4/6 Oz,1.65,2/3/2019,
369,Pork - Ground,1.4,6/25/2019,
370,"Stock - Veal, Brown",1.04,10/16/2019,
371,Sage - Ground,3.58,9/24/2019,
372,Sunflower Seed Raw,1.74,12/23/2019,
373,Easy Off Oven Cleaner,2.27,2/17/2019,
374,Lettuce - Frisee,4.73,1/9/2019,
375,"Lid - High Heat, Super Clear",3.68,5/10/2019,
376,"Shrimp, Dried, Small / Lb",2.96,1/11/2019,
377,Steel Wool,1.89,2/15/2019,
378,Carbonated Water - Blackcherry,2.19,10/7/2019,
379,Pie Shells 10,1.91,7/1/2019,
380,Icecream - Dstk Super Cone,2.53,5/18/2019,
381,Bag Clear 10 Lb,4.81,5/27/2019,
382,"Salmon - Whole, 4 - 6 Pounds",4.75,4/21/2019,
383,The Pop Shoppe Pinapple,3.86,4/10/2019,
384,Ice Cream Bar - Oreo Sandwich,3.45,4/10/2019,
385,Beef - Top Butt,2.12,7/28/2019,
386,Octopus,1.05,8/11/2019,
387,Ezy Change Mophandle,2.52,4/11/2019,
388,Smoked Paprika,2.27,1/28/2019,
389,Wine - George Duboeuf Rose,1.86,2/8/2019,
390,Island Oasis - Wildberry,4.8,7/3/2019,
391,Muffin Mix - Lemon Cranberry,3.23,9/8/2019,
392,"Fish - Soup Base, Bouillon",3.97,2/21/2019,
393,Green Scrubbie Pad H.duty,3.05,6/25/2019,
394,Anchovy Paste - 56 G Tube,3.47,11/15/2019,
395,Meldea Green Tea Liquor,4.88,6/26/2019,
396,Pork - Kidney,4.88,8/2/2019,
397,Lemon Tarts,2.74,11/8/2019,
398,Tuna - Loin,2.59,12/14/2019,
399,Oil - Sunflower,2.95,3/17/2019,
400,Lettuce - Boston Bib,4.39,9/28/2019,
401,Phyllo Dough,3.98,1/31/2019,
402,Wheat - Soft Kernal Of Wheat,1.95,7/5/2019,
403,Wooden Mop Handle,4.71,10/18/2019,
404,Cheese - Brie,1.67,7/1/2019,
405,Lobster - Base,4.94,10/5/2019,
406,Oats Large Flake,1.59,11/22/2019,
407,"Tortillas - Flour, 8",2.11,11/19/2019,
408,Cheese - Augre Des Champs,4.66,3/5/2019,
409,Cake - Cake Sheet Macaroon,2.57,8/19/2019,
410,Raisin - Dark,4.18,9/18/2019,
411,Cinnamon Buns Sticky,3.92,12/21/2019,
412,Snails - Large Canned,3.61,6/20/2019,
413,Ham - Cooked Bayonne Tinned,2.57,9/7/2019,
414,"Cheese - Cheddar, Mild",4.93,8/21/2019,
415,Celery Root,2.77,7/18/2019,
416,Amarula Cream,3.81,8/2/2019,
417,Yoplait Drink,1.08,2/9/2019,
418,"Beef - Ground, Extra Lean, Fresh",3.4,10/8/2019,
419,Cabbage - Red,3.26,1/9/2019,
420,Beef - Sushi Flat Iron Steak,3.49,6/22/2019,
421,Sauce - Roasted Red Pepper,3.3,3/9/2019,
422,"Pasta - Penne Primavera, Single",1.35,12/6/2019,
423,Cream - 18%,3.27,12/21/2019,
424,Radish,4.25,10/26/2019,
425,Cheese - La Sauvagine,2.07,1/25/2019,
426,Squid - Breaded,2.68,4/17/2019,
427,Mousse - Passion Fruit,2.74,5/7/2019,
428,"Roe - Lump Fish, Red",2.85,3/29/2019,
429,Shrimp - Black Tiger 16/20,3.83,3/17/2019,
430,Broccoli - Fresh,1.48,12/18/2019,
431,Carbonated Water - Blackcherry,3.39,2/13/2019,
432,"Syrup - Golden, Lyles",3.48,7/3/2019,
433,The Pop Shoppe - Root Beer,4.54,3/13/2019,
434,Wine - Carmenere Casillero Del,3.74,2/21/2019,
435,Bread - Multigrain,3.24,4/8/2019,
436,"Yogurt - Blueberry, 175 Gr",4.34,3/31/2019,
437,Cinnamon - Ground,1.44,8/9/2019,
438,Chocolate - Unsweetened,2.34,10/23/2019,
439,Compound - Mocha,3.68,6/16/2019,
440,Bread - French Stick,3.17,10/8/2019,
441,Sauce - Fish 25 Ozf Bottle,4.21,5/14/2019,
442,Gelatine Leaves - Envelopes,1.36,3/3/2019,
443,Towel - Roll White,3.14,4/30/2019,
444,Flour - Bread,4.75,8/27/2019,
445,Veal - Loin,1.08,7/7/2019,
446,Wine - Blue Nun Qualitatswein,4.82,5/3/2019,
447,"Wine - Red, Cabernet Sauvignon",1.26,6/17/2019,
448,Cheese - Cheddarsliced,4.17,11/10/2019,
449,Banana,3.34,11/1/2019,
450,"Bread - Pita, Mini",1.36,6/16/2019,
451,Pasta - Agnolotti - Butternut,4.15,4/7/2019,
452,Pastry - Baked Scones - Mini,3.67,4/6/2019,
453,Canada Dry,4.13,3/11/2019,
454,Potatoes - Pei 10 Oz,1.41,3/4/2019,
455,Chocolate - Compound Coating,1.96,9/18/2019,
456,Soup - Campbells - Tomato,2.28,8/24/2019,
457,Beer - Rickards Red,3.39,8/8/2019,
458,Island Oasis - Pina Colada,3.31,1/10/2019,
459,V8 - Tropical Blend,4.18,9/9/2019,
460,Apple - Macintosh,2.07,5/11/2019,
461,Wine - Ruffino Chianti Classico,2.67,11/27/2019,
462,"Mushroom - Enoki, Fresh",1.83,11/6/2019,
463,"Lemonade - Strawberry, 591 Ml",2.99,4/23/2019,
464,Shopper Bag - S - 4,2.84,12/8/2019,
465,Cumin - Whole,3.98,5/19/2019,
466,Dehydrated Kelp Kombo,3.35,2/14/2019,
467,"Juice - Clamato, 341 Ml",3.32,12/15/2019,
468,"Wine - Harrow Estates, Vidal",4.12,6/4/2019,
469,Chutney Sauce,1.38,9/7/2019,
470,Veal - Insides Provini,2.67,7/22/2019,
471,Water - San Pellegrino,1.16,2/6/2019,
472,Bagel - 12 Grain Preslice,1.57,7/12/2019,
473,Corn - Mini,1.49,9/12/2019,
474,Trout Rainbow Whole,2.7,1/24/2019,
475,Ecolab - Mikroklene 4/4 L,3.53,6/6/2019,
476,Tomatoes - Orange,3.83,9/11/2019,
477,Pancetta,1.56,8/13/2019,
478,Nut - Macadamia,1.62,10/29/2019,
479,Soup - Campbells Chili Veg,4.71,3/9/2019,
480,Tequila Rose Cream Liquor,2.81,6/8/2019,
481,Muffin Mix - Lemon Cranberry,1.58,2/15/2019,
482,Carbonated Water - Strawberry,4.73,3/8/2019,
483,Pickle - Dill,3.99,7/15/2019,
484,"Wine - White, Chardonnay",3.68,1/7/2019,
485,Lychee,1.15,9/11/2019,
486,Scallops 60/80 Iqf,1.82,1/13/2019,
487,Rye Special Old,1.45,1/19/2019,
488,Puff Pastry - Slab,3.41,11/28/2019,
489,Arctic Char - Fillets,1.56,5/1/2019,
490,Soup Campbells - Tomato Bisque,2.87,12/16/2019,
491,Cheese - Le Cheve Noir,4.26,9/19/2019,
492,Dooleys Toffee,3.82,12/5/2019,
493,"Chicken - Base, Ultimate",1.35,6/16/2019,
494,Wine - Baron De Rothschild,3.37,4/3/2019,
495,Vinegar - Sherry,1.3,1/21/2019,
496,Muffin Hinge 117n,3.31,7/14/2019,
497,"Pork - Bacon, Sliced",4.19,6/18/2019,
498,Otomegusa Dashi Konbu,3.84,8/22/2019,
499,Tahini Paste,3.9,11/30/2019,
500,Table Cloth 90x90 Colour,3.01,1/19/2019,
501,Cape Capensis - Fillet,1.75,2/4/2019,
502,Tea Leaves - Oolong,3.99,1/30/2019,
503,Wine - Magnotta - Bel Paese White,3.85,9/9/2019,
504,Eggplant - Baby,4.35,2/22/2019,
505,Limes,2.47,1/22/2019,
506,"Beef - Ox Tail, Frozen",1.39,9/17/2019,
507,Coffee Guatemala Dark,3.75,6/5/2019,
508,Oven Mitts - 15 Inch,4.08,5/16/2019,
509,Compound - Raspberry,1.83,10/8/2019,
510,Wine - Vouvray Cuvee Domaine,4.49,7/8/2019,
511,Kellogs Special K Cereal,2.28,12/6/2019,
512,Sauce - Chili,4.87,4/25/2019,
513,Nantucket - Carrot Orange,1.44,11/2/2019,
514,Clams - Bay,3.49,9/1/2019,
515,"Wine - White, Cooking",1.01,4/7/2019,
516,Lady Fingers,4.92,2/23/2019,
517,Wiberg Super Cure,3.8,8/18/2019,
518,Bag - Regular Kraft 20 Lb,1.23,4/1/2019,
519,Chinese Foods - Pepper Beef,2.34,12/29/2019,
520,"Sugar - Brown, Individual",3.88,8/20/2019,
521,Vaccum Bag - 14x20,1.85,11/4/2019,
